filler_zip,poly_index,assigned_to_zip,centroid_lon,centroid_lat,area_m2
836MX,0,83615,-115.8177444,44.6235010,127583652.04
836MX,1,83631,-115.5681954,43.9138476,167629975.25
836MX,2,83634,-116.2256382,43.2377560,122065033.22
836MX,3,83604,-116.4524444,42.3364058,4862508780.59
836MX,4,83604,-116.0366331,42.0591730,128554435.83
836MX,5,83302,-115.2849747,42.4867484,1946329006.02
836MX,6,83604,-115.7090161,42.0446145,181118678.78
837MX,0,83716,-116.1079717,43.1842400,53217515.89
838MX,0,83864,-116.0917892,48.4875233,51124549.08
838MX,1,59867,-115.5396193,47.2055427,808530313.57
838MX,2,83839,-116.2036938,47.8430936,770175650.45
838MX,3,83812,-115.9837872,47.0216325,821979489.09
840MH,0,84029,-112.4142893,40.9535206,1010255184.16
840MX,0,84086,-111.3088832,41.3779826,743115703.32
840MX,1,84029,-113.0101227,40.9081677,569455609.07
840MX,2,84075,-112.2090217,40.9548109,111185896.16
840MX,3,84002,-110.4108429,40.7687192,2627587724.11
840MX,4,84034,-113.3807531,40.2694842,6699854237.25
840MX,5,84036,-111.0336928,40.3902454,290197341.15
840MX,6,84080,-112.1910411,40.1519498,190001543.34
840MX,7,84032,-111.0031755,39.9682977,253998061.07
840MX,8,84063,-109.6478484,39.8009670,5827538905.62
843MH,0,84307,-112.8688860,41.3802511,2085361693.68
843MX,0,84321,-111.4907589,41.6830241,198192838.69
843MX,1,84328,-111.6470792,41.4739098,23711771.77
843MX,2,84336,-112.9165413,41.7085851,26061835.44
843MX,3,84313,-113.1119636,41.4951254,134510538.80
843MX,4,84313,-113.0906229,41.1211475,1239171296.04
843MX,5,84313,-113.7929835,41.5668350,32700534.63
844MH,0,84315,-112.3356067,41.1525909,166719645.43
845MH,0,84520,-110.0023802,39.6318034,4741.92
845MH,1,84520,-110.0226892,39.6070804,31412.03
845MX,0,84520,-110.0549494,39.5277344,2236493064.28
845MX,1,84532,-109.5535531,38.8503886,325348990.38
845MX,2,84532,-109.9548933,38.7763885,294287595.15
845MX,3,84525,-110.6697007,38.8170277,6704110256.60
845MX,4,84536,-109.9375034,37.4448346,1651459500.97
846MH,0,84639,-111.9859282,39.3682124,14111854.37
846MX,0,84629,-111.2736320,40.0345745,333148227.63
846MX,1,84630,-111.8500060,39.3589450,284112386.04
846MX,2,84523,-111.4429761,39.1165138,445314666.96
846MX,3,84080,-112.8722447,39.6633211,6229267942.70
846MX,4,84744,-111.4868281,38.7059536,1270158353.78
847MH,0,84535,-110.2864671,37.6448252,2266584741.02
847MH,1,84741,-111.3712626,37.0582645,148188323.75
847MX,0,84728,-113.3570980,38.8428477,13629255336.94
847MX,1,84775,-111.1624770,38.4137657,725918440.32
847MX,2,84721,-113.0875793,38.0562067,922127294.92
847MX,3,84734,-110.2850711,38.4343660,336215145.94
847MX,4,84712,-111.7243313,38.2031475,426747618.08
847MX,5,84725,-113.9506363,37.5742712,473568694.98
847MX,6,84733,-113.9197148,37.1032543,544171149.67
847MX,7,84536,-110.5142185,37.3556909,466090223.99
847MX,8,84726,-111.1827814,37.5065050,8126194959.76
852MX,0,85262,-111.6849053,33.8946089,84172094.35
852MX,1,85132,-111.1987223,33.1739118,36626947.84
852MX,2,85192,-110.5762717,33.0900972,255907619.42
852MX,3,85131,-111.2728607,32.7228197,175370518.29
852MX,4,85193,-112.0209692,32.6219320,702089563.24
853MX,0,85332,-113.2094313,34.1760420,949373473.14
853MX,1,85354,-113.1831977,33.6185371,190226929.16
853MX,2,85328,-114.4221077,33.2661752,1462434320.90
853MX,3,85333,-113.5988810,33.2260465,1956198173.31
853MX,4,85321,-113.3641916,32.4765891,10175840841.54
855MX,0,85534,-109.2729548,32.5567669,404010156.51
855MX,1,85605,-109.5723156,32.5414511,359421924.67
855MX,2,85533,-109.9666887,33.4243841,2264678030.25
855MX,3,85501,-110.5879111,33.9207459,661322065.25
855MX,4,85550,-110.6137646,33.2283501,224969447.40
855MX,5,85173,-111.1833962,33.4106661,196938263.69
856MX,0,85634,-111.8198210,32.2979976,774532109.66
859MX,0,85937,-110.2184763,34.6656827,25936333.65
859MX,1,85931,-110.7328054,34.5205658,23041375.15
859MX,2,85911,-110.6542069,34.0421877,101678870.36
859MX,3,85938,-109.1613911,34.2434522,177776129.05
859MX,4,85927,-109.5382847,34.1759762,104364425.44
859MX,5,85938,-109.0585025,34.0222848,30737024.87
859MX,6,85941,-109.7341785,33.7671805,828548258.87
859MX,7,85926,-110.0341026,33.6659946,359792851.83
859MX,8,85533,-109.3833902,33.7738641,449351012.30
860MH,0,84536,-110.9721207,37.0760198,628933861.83
863MH,0,85264,-111.7310122,34.0164479,4886810.52
863MX,0,85544,-111.6749014,34.0971027,660060319.32
863MX,1,86334,-112.2032664,34.9484849,52504627.21
864MH,0,86052,-112.8416278,36.2830515,1083234.72
864MX,0,86432,-113.4272087,36.4288665,11803831.86
864MX,1,86432,-113.5296641,36.5394957,348543652.84
